,UNI_TR_D,GRU_TAR,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,eu_dis_untrs,eu_dis_nfe,main_r_dist,secondary_r_dist
92,26876315,1,4.26,2.0,71.08333333333333,168.0,27707534,0,POINT (155716.2479686692 7529132.719916626),POINT (151650.7712599388 7531499.6391658),4704.2967169748745,20018.38851699389,17612.24109369053,3806.2204795324487
93,26876316,1,32.73,9.0,63.833333333333336,92.0,27707534,0,POINT (155919.8182772617 7529049.702580125),POINT (151650.7712599388 7531499.6391658),4922.088145283717,20228.736973082436,17785.852156209698,4012.833447147958
94,26876317,1,520.1,128.0,62.547619047619044,845.0,27707534,0,POINT (156151.9581979263 7528935.9408182),POINT (151650.7712599388 7531499.6391658),5180.080411364024,20470.713967375985,17980.145818534376,4011.2659695042707
95,26876318,1,38.479999999999976,74.0,115.54504504504506,6241.0,27707534,1,POINT (156115.0362868779 7528572.832811825),POINT (151650.7712599388 7531499.6391658),5338.151146644363,20472.840358916925,17854.40286638087,3674.5223922216624
96,26876319,1,2942.380000000001,829.0,99.46780303030305,12408.0,27707534,1,POINT (155924.3107703017 7528484.131600531),POINT (151650.7712599388 7531499.6391658),5230.337065890574,20293.970290350946,17648.073087840818,3654.3570485741093
97,26876320,1,75.99000000000004,143.0,90.09859154929576,8906.0,27707534,1,POINT (156138.4223093342 7528312.418314887),POINT (151650.7712599388 7531499.6391658),5504.306377158944,20527.824487772585,17816.88201872596,3419.9119664515065
98,26876321,1,93.3,30.0,135.15,836.0,27707534,1,POINT (155789.8647873417 7528692.061611442),POINT (151650.7712599388 7531499.6391658),5001.458482515268,20136.210558432478,17568.11360241089,3897.0577338316084
99,26876322,1,25.189999999999987,47.0,128.80208333333334,4188.0,27707534,1,POINT (156430.1524424104 7528580.372431533),POINT (151650.7712599388 7531499.6391658),5600.410945025315,20785.009404250526,18162.350900189667,3596.852671042805
100,26876323,1,477.88999999999913,262.0,103.8860153256705,13446.0,27707534,1,POINT (156560.1178056446 7528585.547017245),POINT (151650.7712599388 7531499.6391658),5709.0819363629225,20913.552851800265,18289.91398187192,3574.3229403089854
101,26876324,1,13.519999999999996,26.0,114.1153846153846,2336.0,27707534,1,POINT (156354.1256707521 7528754.579203475),POINT (151650.7712599388 7531499.6391658),5445.814623219841,20690.319741976367,18130.332097027946,3784.0158270650163
102,26876325,1,1293.9999999999998,385.0,100.2663398692811,7292.0,27707534,1,POINT (155876.9100757285 7528190.857867802),POINT (151650.7712599388 7531499.6391658),5367.334810527708,20284.637862350228,17534.86412221953,3401.0543109579953
103,26876326,1,181.44,41.0,120.45833333333333,859.0,27707534,1,POINT (156479.2658482338 7528830.654872911),POINT (151650.7712599388 7531499.6391658),5517.049677579707,20806.897487047107,18270.342811772753,3830.6134523913097
104,26876327,1,278.48999999999995,347.0,86.59383202099735,16446.0,27707534,1,POINT (156784.7510040783 7528451.302788823),POINT (151650.7712599388 7531499.6391658),5970.770694008944,21152.16741326254,18477.89588920285,3404.4462127832426
105,26876328,1,23.63,5.0,38.5,66.0,27707534,0,POINT (156744.4319074965 7529036.467685461),POINT (151650.7712599388 7531499.6391658),5657.967173290548,21051.064203452188,18578.635210835666,3989.7684129929517
106,26876329,1,51.81,9.0,71.45833333333334,231.0,27707534,0,POINT (156888.5127555931 7529006.236110283),POINT (151650.7712599388 7531499.6391658),5800.947747787393,21197.298490114543,18710.417586005406,3943.7285801104017
107,26876330,1,25.249999999999986,49.0,90.63,3530.0,27707534,1,POINT (156761.7925118125 7528424.354392678),POINT (151650.7712599388 7531499.6391658),5964.890164362056,21132.565032189163,18449.499290856107,3381.0402738117627
108,26876331,1,148.1700000000001,146.0,117.83680555555554,8048.0,27707534,1,POINT (156831.4894416757 7528182.809048154),POINT (151650.7712599388 7531499.6391658),6151.520373688112,21231.825277984517,18465.346257416822,3132.0802813304754
109,26876333,1,88.73000000000012,157.0,96.1458333333333,12602.0,27707534,1,POINT (156835.7894544969 7528301.135333324),POINT (151650.7712599388 7531499.6391658),6092.195043189568,21221.028565790715,18494.694203703337,3248.794114248769
110,26876334,1,71.8,12.0,140.66666666666669,339.0,27707534,0,POINT (157179.6200570301 7529599.504007807),POINT (151650.7712599388 7531499.6391658),5846.253726938222,21441.846873924715,19147.548141384388,4518.851583921831
111,26876336,1,235.59,47.0,101.34722222222223,1077.0,27707534,0,POINT (157553.495949631 7529715.515421305),POINT (151650.7712599388 7531499.6391658),6166.46221896906,21808.157815094455,19538.922774295643,4642.036371169821
112,26876337,1,616.2300000000001,322.0,80.77678571428575,7724.0,27707534,1,POINT (157045.4272730491 7528392.59156066),POINT (151650.7712599388 7531499.6391658),6225.43639598014,21417.963746393678,18719.169222354587,3318.989649272165
113,26876338,1,999.5399999999993,413.0,106.42610062893083,8544.0,27707534,1,POINT (157047.0631332393 7528150.339623116),POINT (151650.7712599388 7531499.6391658),6351.202516726503,21449.791223159253,18669.493679375777,3077.253011801314
114,26876339,1,1614.079999999998,401.0,112.48854166666669,13362.0,27707534,1,POINT (157128.9481163104 7528306.800712207),POINT (151650.7712599388 7531499.6391658),6340.712819583108,21511.240800113505,18782.271440131604,3228.5010920934155
