,COD_ID,geometry,CTMT,UNI_TR_D,DIC,FIC,ENE_MED,ENE_MAX,UNI_TR_S,ARE_LOC,geometry_untrd,geometry_untrs,TIEMPO_MIN,DISTANCIA_KM,NODE,ENDNODE,g_degree,g_avg_ndeg,g_pagerank,dist_to_trs,COMP,R,X,impedancia,angulo_impedancia,GRU_TAR_2,GRU_TAR_3,DIC_above,FIC_above
1363,26876550,POINT (-42.30352488726368 -22.30716550338525),27117483,26876550,16.15,6.0,0.19591280653950952,0.0013904664917159533,27707534,0,POINT (-42.30352488726368 -22.30716550338525),POINT (-42.38023628887362 -22.28705286010137),0.6656336088154271,0.7693293786446813,27160683,27707554,0.0,0.42857142857142855,0.04495272273454337,0.47427985063956907,0.45876325796810286,0.35357360184981523,0.4285231710076009,0.37587726594336107,0.6458654199451295,0,0,0,0
1364,26876551,POINT (-42.29541485321289 -22.33759618811354),27117483,26876551,27.79,10.0,0.17029972752043593,0.004739336492890996,27707534,0,POINT (-42.29541485321289 -22.33759618811354),POINT (-42.38023628887362 -22.28705286010137),0.6244834710743802,0.7096571486024533,27156434,27707554,0.3333333333333333,0.14285714285714285,0.4233340223253953,0.47005308200985074,0.4546747727739035,0.3140348465406269,0.42194918917412483,0.3473966648980199,0.6960060256662705,0,0,1,1
1365,26876552,POINT (-42.28932717410976 -22.30869763788564),27117483,26876552,15.896400000000002,7.92,0.2802179836512261,0.06118052563550194,27707534,0,POINT (-42.28932717410976 -22.30869763788564),POINT (-42.38023628887362 -22.28705286010137),0.6625344352617081,0.759400764126282,27146320,27707554,0.3333333333333333,0.14285714285714285,0.3722900103235737,0.4707244483908985,0.45532417465729447,0.3562277696790324,0.42960081558148383,0.37802156571628953,0.6434802628430694,0,0,0,1
1366,26876554,POINT (-42.29851468230669 -22.30790489809254),27117483,26876554,24.32,7.0,0.2501362397820163,0.004093063334769496,27707534,0,POINT (-42.29851468230669 -22.30790489809254),POINT (-42.38023628887362 -22.28705286010137),0.6707988980716254,0.7736275889804947,27160682,27707554,0.0,0.14285714285714285,0.10312510987193807,0.48624120612594673,0.4703332844097605,0.3802518827087307,0.44091232528295177,0.39800313511514357,0.6247348354453949,0,0,1,0
1367,26876555,POINT (-42.28318195638212 -22.31593366130937),27117483,26876555,12.923076923076923,6.538461538461537,0.2885977782435548,0.030668598958129335,27707534,0,POINT (-42.28318195638212 -22.31593366130937),POINT (-42.38023628887362 -22.28705286010137),0.7332988980716254,0.7648049467122462,27147870,27707554,0.3333333333333333,0.14285714285714285,0.3643237446646814,0.47265056575081216,0.45718727694610417,0.3605237292760473,0.43175202912784794,0.38162492374459567,0.640126641665367,0,0,0,0
1368,26876556,POINT (-42.28774810219312 -22.30607145383448),27117483,26876556,16.508,8.1,0.4853133514986375,0.03863930124162783,27707534,0,POINT (-42.28774810219312 -22.30607145383448),POINT (-42.38023628887362 -22.28705286010137),0.6735537190082646,0.7683490850593204,27162363,27707554,0.3333333333333333,0.28571428571428564,0.32556153608247373,0.47945405781416156,0.4637681852017118,0.37569805231110365,0.4393506129908341,0.39438582621758006,0.6287711035670857,0,0,0,1
1369,26876557,POINT (-42.30434591433243 -22.39030039095024),27117483,26876557,23.25,13.125,0.13545640326975478,0.013023383337902941,27707534,0,POINT (-42.30434591433243 -22.39030039095024),POINT (-42.38023628887362 -22.28705286010137),0.5742079889807163,0.7436155238286749,27147465,27707554,0.3333333333333333,0.14285714285714285,0.3559727090902802,0.5062253224946557,0.4896635981908741,0.40393767741533276,0.4648953796962164,0.42172933029794113,0.6211538134619529,0,0,1,1
1370,26876558,POINT (-42.33151638577255 -22.38039297995203),27117483,26876558,67.45,16.0,0.38528610354223425,0.005581450001958404,27707534,0,POINT (-42.33151638577255 -22.38039297995203),POINT (-42.38023628887362 -22.28705286010137),0.6339531680440772,0.6981198471747436,27162409,27707554,0.0,0.42857142857142855,0.041233076844823524,0.48745528486809575,0.47150764321591054,0.32090015817517553,0.43727922844397454,0.3570657219903206,0.7028894427270089,0,0,1,1
1371,26876559,POINT (-42.28518167089737 -22.30656776449069),27117483,26876559,7.7,5.0,0.09727520435967299,0.0006266891230269085,27707534,0,POINT (-42.28518167089737 -22.30656776449069),POINT (-42.38023628887362 -22.28705286010137),0.6809573002754822,0.7743565252362758,27162606,27707554,0.0,0.14285714285714285,0.08339681906438101,0.48771566203996203,0.47175950185908255,0.39412450892232287,0.448577711658403,0.40994542360053327,0.6159324119432233,0,0,0,0
1372,26876560,POINT (-42.28166566703686 -22.31407576538425),27117483,26876560,3.58,2.0,0.09291553133514985,0.0019388194743644982,27707534,0,POINT (-42.28166566703686 -22.31407576538425),POINT (-42.38023628887362 -22.28705286010137),0.7432851239669422,0.7730494671224614,27129807,27707554,0.3333333333333333,0.28571428571428564,0.35228231674882526,0.47975106495136555,0.46405547542017617,0.3763604889247847,0.4396823299413261,0.3949440266571006,0.6282920683768253,0,0,0,0
