,UNI_TR_D,TIEMPO_MIN,DISTANCIA_KM
725,26877734,9.466666666666667,5.07
726,26877735,8.833333333333334,4.997
727,26877736,8.75,5.131
728,26877737,8.6,5.033
729,26877738,0.0,0.0
730,26877739,9.466666666666667,5.77
731,26877740,9.516666666666667,5.806
732,26877741,9.716666666666667,5.975
733,26877742,9.783333333333333,6.046
734,26877743,9.9,6.149
735,26877744,0.0,0.0
736,26877745,3.716666666666667,1.196
737,26877746,3.533333333333333,1.116
738,26877747,3.7666666666666666,1.217
739,26877748,2.35,0.598
740,26877749,2.25,0.656
741,26877750,0.0,0.0
742,26877751,3.55,1.142
743,26877752,0.0,0.0
744,26877753,2.5166666666666666,0.657
745,26877754,2.7333333333333334,0.971
746,26877755,2.8,0.912
747,26877756,2.9,1.04
748,26877757,0.0,0.0
749,26877758,10.0,4.79
750,26877759,12.25,4.983
751,26877760,3.816666666666667,2.122
752,26877761,6.083333333333333,2.794
753,26877762,5.033333333333333,2.422
754,26877763,0.0,0.0
755,26877764,7.55,3.762
756,26877765,6.95,3.975
757,26877766,7.066666666666666,4.168
758,26877767,7.15,4.182
759,26877768,0.0,0.0
760,26877769,7.95,4.659
761,26878745,24.616666666666667,16.37
762,26878746,23.25,15.915
763,26878747,26.5,16.996
764,26878748,24.666666666666668,17.775
765,26878749,24.633333333333333,17.737
766,26878750,23.7,16.748
767,26878751,25.85,16.134
768,26878752,26.133333333333333,16.238
769,26878042,7.316666666666666,6.134
770,26878043,7.933333333333334,6.392
771,26878044,8.0,6.007
772,26878045,0.0,0.0
773,26879020,25.95,15.396
774,26879021,21.8,15.036
775,26879022,22.35,15.349
776,26879023,23.533333333333335,15.406
777,26879024,21.783333333333335,15.674
778,26879025,22.65,14.321
779,26879026,26.283333333333335,15.912
780,26879027,22.85,15.932
781,26879028,22.166666666666668,16.075
782,26879029,23.3,16.552
783,26879030,23.516666666666666,16.604
784,26879031,23.15,17.088
785,26879032,28.666666666666668,16.427
786,26879033,25.05,15.852
787,26879034,24.2,16.867
788,26879035,3.5833333333333335,1.366
789,26879036,0.0,0.0
790,26879037,2.8,1.04
791,26879038,4.066666666666666,1.577
792,26879039,0.0,0.0
793,26879040,4.783333333333333,1.743
794,26879041,5.0,1.832
795,26879042,0.0,0.0
796,26879043,4.016666666666667,1.721
797,26879044,5.083333333333333,1.971
798,26879045,4.216666666666667,1.728
799,26879046,0.0,0.0
800,26879047,5.316666666666666,2.229
801,26879048,0.0,0.0
802,26879049,5.6,2.338
803,26879050,0.0,0.0
804,26879051,7.583333333333333,2.635
805,26879052,5.3,2.085
806,26879053,24.516666666666666,17.429
807,26879054,0.1,0.038
808,26879055,0.0,0.002
809,26879056,1.6166666666666667,0.368
810,26879057,0.0,0.0
811,26879058,1.1166666666666667,0.397
812,26879059,2.7333333333333334,1.136
813,26879060,0.0,0.0
814,26879062,2.783333333333333,1.125
815,26879063,6.1,2.026
816,26879064,0.0,0.0
817,26879065,4.833333333333333,1.962
818,26880153,13.533333333333333,10.617
819,26880154,10.516666666666667,9.674
820,26880155,12.333333333333334,11.099
821,26880156,15.183333333333334,12.388
822,26880157,15.116666666666667,12.258
823,26880158,10.3,9.453
824,26880159,17.133333333333333,13.196
825,26880160,15.583333333333334,11.648
826,26880161,0.0,0.0
827,26880162,12.783333333333333,10.382
828,26880163,16.766666666666666,12.93
829,26880165,0.0,0.0
830,26880166,0.0,0.0
831,26880167,12.533333333333333,11.473
832,26878041,7.666666666666667,6.024
833,26877623,8.433333333333334,4.381
834,26877624,7.266666666666667,2.242
835,26877625,8.216666666666667,2.502
836,26877626,8.633333333333333,2.668
837,26877627,9.083333333333334,2.787
838,26877628,6.466666666666667,3.629
839,26877629,0.0,0.0
840,26877631,7.35,2.206
841,26877632,9.266666666666667,4.57
842,26877633,0.0,0.0
843,26877634,9.483333333333333,4.575
844,26878607,6.583333333333333,3.099
845,26878608,6.916666666666667,3.367
846,26878609,7.633333333333334,3.316
847,26878610,7.233333333333333,3.623
848,26878611,0.0,0.0
849,26878612,8.016666666666667,4.242
850,26878613,8.233333333333333,4.42
851,26878614,8.183333333333334,4.384
852,26878615,11.433333333333334,4.375
853,26878616,0.0,0.0
854,26878617,12.233333333333333,5.436
855,26878618,11.3,5.328
